id_category,product_type_name
253,Vest top
306,Bra
304,Underwear Tights
302,Socks
273,Leggings/Tights
252,Sweater
254,Top
272,Trousers
72,Hair clip
532,Umbrella
295,Pyjama jumpsuit/playsuit
256,Bodysuit
73,Hair string
-1,Unknown
308,Hoodie
196,Sleep Bag
74,Hair/alice band
67,Belt
87,Boots
298,Bikini top
59,Swimwear bottom
286,Underwear bottom
57,Swimsuit
275,Skirt
255,T-shirt
265,Dress
75,Hat/beanie
307,Kids Underwear top
274,Shorts
259,Shirt
69,Cap/peaked
297,Pyjama set
94,Sneakers
81,Sunglasses
245,Cardigan
71,Gloves
70,Earring
66,Bag
264,Blazer
89,Other shoe
267,Jumpsuit/Playsuit
91,Sandals
262,Jacket
83,Umbrella
277,Costumes
305,Robe
80,Scarf
263,Coat
78,Other accessories
257,Polo shirt
93,Slippers
293,Night gown
495,Alice band
515,Straw hat
76,Hat/brim
260,Tailored Waistcoat
77,Necklace
86,Ballerinas
82,Tie
296,Pyjama bottom
509,Felt hat
68,Bracelet
258,Blouse
271,Outdoor overall
85,Watch
283,Underwear body
496,Beanie
161,Giftbox
49,Sleeping sack
268,Dungarees
276,Outdoor trousers
84,Wallet
299,Swimwear set
60,Swimwear top
144,Flat shoe
270,Garment Set
79,Ring
156,Waterbottle
95,Wedge
287,Long John
261,Outdoor Waistcoat
90,Pumps
88,Flip flop
499,Braces
100,Bootie
98,Fine cosmetics
92,Heeled sandals
289,Nipple covers
96,Chem. cosmetics
155,Soft Toys
512,Hair ties
284,Underwear corset
291,Bra extender
285,Underdress
288,Underwear set
300,Sarong
303,Leg warmers
349,Blanket
511,Hairband
475,Tote bag
477,Weekend/Gym bag
351,Cushion
467,Backpack
508,Earrings
503,Bucket hat
465,Flat shoes
230,Heels
504,Cap
476,Shoulder bag
326,Side table
494,Accessories set
514,Headband
498,Baby Bib
525,Keychain
231,Dog Wear
492,Washing bag
489,Sewing kit
470,Cross-body bag
102,Moccasins
366,Towel
493,Wood balls
762,Zipper head
529,Mobile case
464,Pre-walkers
389,Toy
761,Marker pen
468,Bumbag
521,Dog wear
510,Eyeglasses
523,Wireless earphone case
491,Stain remover spray
483,Clothing mist
